zmedina	zaria medina	zmedina@u.rochester.edu	2014	SX4BBE2X
croth	carleigh roth	croth@u.rochester.edu	2016	JYBOTIMG
krowland	kiara rowland	krowland@u.rochester.edu	2014	8496GOTB
bfrazier	bella frazier	bfrazier@u.rochester.edu	2015	SMLTQ85K
apruitt	adalynn pruitt	apruitt@u.rochester.edu	2014	WPCTVR0Q
hmunoz	hunter munoz	hmunoz@u.rochester.edu	2016	11N2FSRM
hlindsay	hanna lindsay	hlindsay@u.rochester.edu	2016	6YQRJMFT
lthomas	leah thomas	lthomas@u.rochester.edu	2016	SRSFHY6W
cowens	callum owens	cowens@u.rochester.edu	2016	BMAWD1RW
bhogan	belen hogan	bhogan@u.rochester.edu	2015	8BJG1ELE
rbrennan	raylan brennan	rbrennan@u.rochester.edu	2014	SVKCCAFQ
eriley	eli riley	eriley@u.rochester.edu	2016	F0OH7WBU
kbuckner	karina buckner	kbuckner@u.rochester.edu	2015	9FAU09GQ
amccray	alyvia mccray	amccray@u.rochester.edu	2014	FN0U2OZE
jguerrer	jace guerrero	jguerrer@u.rochester.edu	2015	J03L1W3X
jdickers	joey dickerson	jdickers@u.rochester.edu	2015	CJRGOYF9
ycline	yandel cline	ycline@u.rochester.edu	2016	KL6BDWN7
athompso	antonio thompson	athompso@u.rochester.edu	2016	6YRQWIPI
jdowns	jaylene downs	jdowns@u.rochester.edu	2016	FNGJZ7UZ
cmcfadde	cailyn mcfadden	cmcfadde@u.rochester.edu	2016	K7L30IK7
dtaylor	darryl taylor	dtaylor@u.rochester.edu	2016	EHBC9WYC
gmcconne	grant mcconnell	gmcconne@u.rochester.edu	2016	235PZKNG
vmitchel	vanessa mitchell	vmitchel@u.rochester.edu	2015	HYKJHZ6T
sroy	skyler roy	sroy@u.rochester.edu	2016	258YOJUP
jbarlow	jolie barlow	jbarlow@u.rochester.edu	2016	1X99G0Q0
jpuckett	jace puckett	jpuckett@u.rochester.edu	2015	AY9UNJZU
chester	chase hester	chester@u.rochester.edu	2015	CAJEM8ST
mengland	mohammad england	mengland@u.rochester.edu	2016	PKQG5P3W
scarson	seth carson	scarson@u.rochester.edu	2016	LG7WPL3N
amorriso	asia morrison	amorriso@u.rochester.edu	2015	VKTC41A2
arivers	amir rivers	arivers@u.rochester.edu	2015	NQZ6Q1FZ
cmathis	callie mathis	cmathis@u.rochester.edu	2016	XKD1HFFC
pskinner	princeton skinner	pskinner@u.rochester.edu	2016	535L98Z5
dmiranda	damien miranda	dmiranda@u.rochester.edu	2014	X0GXCLW8
schase	skyler chase	schase@u.rochester.edu	2016	4HUT1NF8
jdaniel	jedidiah daniel	jdaniel@u.rochester.edu	2014	I9WX8IZD
menglish	matthew english	menglish@u.rochester.edu	2015	EBXGOQ7W
lphelps	lucca phelps	lphelps@u.rochester.edu	2014	Z7GA6LRH
dhill	douglas hill	dhill@u.rochester.edu	2014	DJ3E6K54
acooke	abbie cooke	acooke@u.rochester.edu	2014	NQL81PWG
mburks	muhammad burks	mburks@u.rochester.edu	2016	GAJ9YZTH
agallagh	amiyah gallagher	agallagh@u.rochester.edu	2015	AAS1EA1U
mpalmer	madyson palmer	mpalmer@u.rochester.edu	2015	OUCPW5FL
mtanner	milan tanner	mtanner@u.rochester.edu	2014	W3BA1G38
ringram	reagan ingram	ringram@u.rochester.edu	2016	DBF9IB6E
eguerra	elian guerra	eguerra@u.rochester.edu	2014	XDRTHTCY
mcharles	malaya charles	mcharles@u.rochester.edu	2016	A85W5818
sjames	santos james	sjames@u.rochester.edu	2015	5YHBPO9Q
cbonner	chance bonner	cbonner@u.rochester.edu	2014	I8JYZBU7
mserrano	milena serrano	mserrano@u.rochester.edu	2016	QBL6MW6J
rcampos	remy campos	rcampos@u.rochester.edu	2015	5IXOTJ80
jburton	jorge burton	jburton@u.rochester.edu	2015	1DE6DB7O
meverett	marley everett	meverett@u.rochester.edu	2014	1JRGW3KA
tmcintos	teagan mcintosh	tmcintos@u.rochester.edu	2014	OL9MGAT7
smathis	salvatore mathis	smathis@u.rochester.edu	2015	CXNKB4WR
nlane	norah lane	nlane@u.rochester.edu	2016	VSBY7EWE
sdavidso	shelby davidson	sdavidso@u.rochester.edu	2014	PKX2J67Q
gwiley	garrett wiley	gwiley@u.rochester.edu	2016	O7AMFRNC
